DEMONSTRATIVO STATUS
JANEIRO FEVEREIRO MARÇO ABRIL
1. RECEITAS OPERACIONAIS 165.126,41R$       404.083,61R$       674.288,98R$       458.528,70R$       
1.1 RECEITAS DE EVENTOS 165.126,41R$          404.083,61 R$          674.288,98 R$          458.528,70 R$          
RECEBIMENTOS IDENTIFICADOS 54.527,38R$            220.238,60 R$          505.256,94 R$          351.853,20 R$          
RECEBIMENTOS NÃO IDENTIFICADOS 110.599,03R$          183.845,01 R$          182.909,64 R$          106.675,50 R$          
DEVOLUÇÕES EVENTO - R$                        - R$                        13.877,60 -R$            
Faturamento Fiscal
Diferença 165.126,41-R$         404.083,61 -R$         674.288,98 -R$         458.528,70 -R$         
2. DESPESAS 343.118,55R$       228.118,15R$       418.297,02R$       303.210,77R$       
2.1 IMPOSTOS 47.914,45R$            10.085,35 R$            17.627,28 R$            14.818,82 R$            
FGTS 1.033,48 R$              815,46 R$                  876,88 R$                  876,88 R$                  
ICMS - R$                        - R$                        - R$                        - R$                        
INSS 531,71 R$                  1.082,15 R$              917,56 R$                  1.074,39 R$              
ISS - R$                        - R$                        - R$                        - R$                        
PARCELAMENTOS 4.705,87 R$              4.112,52 R$              4.152,09 R$              *
SIMPLES NACIONAL 41.643,39R$            4.075,22 R$              11.680,75 R$            12.867,55 R$            
2.2 CMV - COMPRA DE INSUMOS 36.022,04R$            14.043,42 R$            118.758,34 R$          52.595,23 R$            
COMPRA DE INSUMOS BAR 36.022,04R$            14.043,42 R$            118.758,34 R$          52.595,23 R$            
COMPRA DE INSUMOS BUFFET - R$                        - R$                        - R$                        - R$                        
2.3 OUTROS CUSTOS 52.822,62R$            38.056,77 R$            38.887,64 R$            75.720,75 R$            
AUDIO E VIDEO 39.946,82R$            20.911,52 R$            4.975,00 R$              34.713,25 R$            
BV DE AGENCIA 911,80 R$                  - R$                        13.279,62 R$            27.107,00 R$            
DECORAÇÃO 1.360,00 R$              - R$                        14.425,50 R$            - R$                        
DESPESAS DIVERSAS EVENTOS 904,00 R$                  10.329,25 R$            1.112,52 R$              12.437,50 R$            
EMBALAGENS - R$                        - R$                        - R$                        23,00 R$                    
LOCAÇÃO DE MATERIAL 9.700,00 R$              6.816,00 R$              5.095,00 R$              1.440,00 R$              
VALLET - R$                        - R$                        - R$                        - R$                        
2.4 DESPESAS COM PESSOAL 42.845,29R$            55.012,70 R$            126.981,07 R$          60.355,55 R$            
[R] [R] SALÁRIOS 14.970,09R$            12.937,47 R$            12.723,06 R$            14.333,07 R$            
13º SALÁRIO 311,00 R$                  - R$                        - R$                        
ADIANTAMENTOS 300,00 R$                  500,00 R$               - R$                        1.050,00 R$              
BONIFICAÇÕES 1.450,00 R$              - R$                        - R$                        225,30 R$                  
COMISSÕES 3.515,04 R$              - R$                        3.336,60 R$              - R$                        
EMPRÉSTIMO A FUNCIONÁRIOS / TERCEIROS - R$                        - R$                        - R$                        - R$                        
FARMÁCIA - R$                        - R$                        - R$                        138,20 R$                  
HEAD - R$                        650,00 R$                  - R$                        3.450,00 R$              
LANCHES E REFEIÇÕES 929,13 R$                  - R$                        - R$                        - R$                        
LIMPEZA 2.063,20 R$              3.705,91 R$              2.377,07 R$              4.542,25 R$              
MEDICINA OCUPACIONAL 128,08 R$                  128,08 R$                  128,08 R$                  138,89 R$                  
PRO LABORE 1.256,68 R$              1.351,02 R$              1.351,02 R$              1.351,02 R$              
PROCESSOS TRABALHISTAS - R$                        - R$                        - R$                        - R$                        
STAFF 10.290,00R$            29.380,00 R$            2.420,00 R$              18.430,00 R$            
SEGURANÇA EVENTO - R$                        - R$                        - R$                        
SEGURO DE VIDA / BENEF ODONTOLOGICO 462,23 R$                  468,22 R$                  1.097,24 R$              1.048,82 R$              
SERVIÇOS 3º BAR - R$                        - R$                        - R$                        - R$                        
TAXA 5.988,00 R$              942,00 R$                  102.900,00 R$          14.340,00 R$            
UNIFORMES - R$                        3.400,00 R$              - R$                        - R$                        
VALE TRANSPORTE 1.181,84 R$              1.550,00 R$              648,00 R$                  1.308,00 R$              
2.5 DESPESAS ADMINISTRATIVAS 96.361,25R$            78.594,78 R$            75.611,26 R$            83.695,20 R$            
[R] [R] ÁGUA 5.099,92 R$            2.456,25 R$             2.783,98 R$              4.051,20 R$              
ALUGUEL 66.754,07R$            66.754,07 R$            66.754,07 R$            66.754,07 R$            
[R] [R] DEDETIZAÇÃO 146,64 R$                  146,64 R$                  146,64 R$                  - R$                        
[R] [R] ENERGIA ELÉTRICA 16.641,39R$            5.772,88 R$              1.275,13 R$              3.672,90 R$              
IPTU 2.500,09 R$              - R$                        - R$                        - R$                        
[R] [R] TELEFONIA E INTERNET 77,44 R$                    77,44 R$                    77,44 R$                    1.253,65 R$              
SOFTWARE 1.979,70 R$              - R$                        - R$                        2.459,70 R$              
HONORÁRIOS 3.162,00 R$              3.387,50 R$              4.574,00 R$              5.503,68 R$              
2.6 DESPESAS VARIÁVEIS 15.158,09R$            12.630,40 R$            18.044,63 R$            5.071,42 R$              
ALUGUEL CARRO - R$                        - R$                        - R$                        - R$                        
COMBUSTIVEL 429,99 R$                  200,00 R$                  150,00 R$                  - R$                        
DESPESAS LEGAIS 324,04 R$                  46,30 R$                    440,00 R$                  - R$                        
